X,Y_0,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Y_8,Y_9,Y_10,Y_11,Y_12,Y_13,Y_14
-10.277118824768532,0.0595693270225031,0.10773043510527068,0.1555558592797069,0.19623077801831773,0.2231322797573126,0.23047413411761397,0.21390075685395687,0.17098013315771765,0.10155242548222428,0.007901360251699588,-0.10527146051754263,-0.23107436763726918,-0.3608450968440134,-0.4847364042211443,-0.5924287925784059
-10.264547425594502,0.05306179040644219,0.1013732986614338,0.14958272650537702,0.19088815620749935,0.21865158862545822,0.22704206251007217,0.2116306785958141,0.16988739757538196,0.10153620428647847,0.00873535849925778,-0.1039377180034281,-0.22970274493234727,-0.3599845350518982,-0.4849880520949485,-0.5944025103408237
-10.251976026420474,0.0466753119794705,0.09513134887776378,0.14371862901266488,0.18564916773197704,0.2142710719176738,0.22370989752284381,0.20946460102472714,0.16890806883511197,0.10164869584950961,0.009719373506566473,-0.10242714522642826,-0.228123099848194,-0.35888215613240154,-0.48496384984242635,-0.596068941034818
-10.239404627246444,0.04043265543649116,0.08902730706239759,0.13798621247989665,0.18053634297137183,0.21001310261557496,0.2204998155578564,0.20742447404667827,0.16806385651863748,0.10191137831696478,0.010874689257101243,-0.10071858279413576,-0.2263142943182308,-0.3575167081363838,-0.4846422698087577,-0.5974061019214342
-10.226833228072415,0.03435593165541121,0.08308324231165659,0.13240747103818035,0.17557156133768573,0.20589940302676113,0.21743334210397086,0.2055315956104813,0.16737581613177474,0.10234507233417123,0.012221927351975866,-0.09879154006754096,-0.224255866761702,-0.3558676243775503,-0.48400247890055265,-0.5983927139146386
-10.214261828898387,0.028466511162066402,0.0773204839858657,0.1270036597627046,0.17077596378821802,0.20195095732662988,0.21453126431533193,0.20380652432948143,0.16686426177394037,0.10296985376378863,0.013780959769997547,-0.09662628237214752,-0.2219281192888164,-0.3539151106645849,-0.4830244258879171,-0.599008289004969
-10.201690429724358,0.022784939535813356,0.07175953712581623,0.12179521010466074,0.16616986827909927,0.1981879270408519,0.21181354653051407,0.20226899504434234,0.16654868174925996,0.10380496934583988,0.015570824571242786,-0.09420391526404782,-0.2193122019589467,-0.3516402295840738,-0.48168892575480926,-0.5992332147289033
-10.18911903055033,0.017330856090051833,0.06642000114413583,0.11680164859804397,0.1617726884936972,0.19462956980275775,0.20929924906671393,0.20093783766116363,0.16644765745350493,0.10486875563435392,0.01760964487836543,-0.09150646551674388,-0.21639019375766155,-0.34902498150000544,-0.47997774076343974,-0.5990488353496661
-10.176547631376302,0.012122916149016921,0.06132049211290076,0.11204151916266912,0.15760285616722342,0.19129416170696134,0.20700645061030515,0.1998308995862299,0.16657878585815455,0.10617856153191278,0.019914551456934104,-0.08851695850744208,-0.21314517997132315,-0.3460523819485633,-0.4778736579114345,-0.5984375294281506
-10.163976232202273,0.007178717227970449,0.05647856895461628,0.10753230931052246,0.15367774731465997,0.18819892356632983,0.20495217451085812,0.19896497206449842,0.16695860589867262,0.10775067472917088,0.022501609201847142,-0.08521949169575793,-0.209561325652187,-0.34270653512113486,-0.475360562474655,-0.5973827834768328
-10.151404833028243,0.002514729408500241,0.051910663828272974,0.10329038054715334,0.15001361265370405,0.18535995136399747,0.20315231927031757,0.19835572071349872,0.16760252905866838,0.10960025234101628,0.025385747821494428,-0.0815993039031811,-0.20562394488236663,-0.3389727031439089,-0.4724235073440256,-0.5958692614049853
-10.138833433854215,-0.0018537698159332983,0.047632016985614284,0.09933090324323748,0.1466255124978589,0.1827921511755416,0.20162159350244496,0.19801762052774713,0.16852477442503666,0.11174125601445076,0.028580696994733354,-0.07764284011825204,-0.20131956556158415,-0.3348373708789651,-0.46904877788127425,-0.5938828694800713
-10.126262034680185,-0.005912755966733421,0.04365661635508315,0.09566779623377693,0.14352725637713232,0.1805091788187807,0.20037345561998599,0.1979638956111307,0.16973830847151666,0.11418639176563032,0.03209892625809449,-0.07333781156999955,-0.19663598946131233,-0.3302883059894651,-0.4652239520361557,-0.591410816547861
-10.113690635506156,-0.009649513040368887,0.039997142092260296,0.0923136713837473,0.1407313476251462,0.17852338446998894,0.19942005848834077,0.1982064638760248,0.17125478980942577,0.11694705478479486,0.03595158986196326,-0.06867325083095827,-0.1915623473065788,-0.3253146140301999,-0.4609379554864232,-0.588441669272495
-10.101119236332128,-0.013052683782882143,0.03666491631595374,0.0892797833393439,0.13824893315180953,0.17684576246567624,0.1987721992648901,0.19875588692829232,0.1730845191247133,0.12003327942823759,0.04014847681485549,-0.06363956173061355,-0.1860891486663107,-0.3199067883443841,-0.4561811115814075,-0.5849654021773445
-10.0885478371581,-0.01611231457997915,0.03366985822865902,0.08657598466354781,0.13608975860026512,0.1754859064886385,0.1984392746226638,0.19962132533684301,0.17523639449998912,0.12345369459594764,0.04469796631441582,-0.05822856388066488,-0.1802083264536137,-0.31405675456807525,-0.45094518589057214,-0.5809734422879932
-10.075976437984071,-0.01881989478529965,0.031020444798787905,0.08421068653340397,0.13426212906550306,0.17445197031566345,0.1984292415357402,0.20081049946512697,0.17771787229890584,0.12721548467229904,0.04960698874251121,-0.052433531634757585,-0.17391327585863267,-0.3077579095648739,-0.44522342517968755,-0.5764587081999648
-10.063405038810043,-0.021168390331390577,0.028723677160143124,0.08219082515448348,0.13277287553010672,0.17375063428235468,0.1987485837818236,0.20232965602000955,0.1805349337683205,0.13132435618519644,0.05488099237980332,-0.0462492273272863,-0.1671988875586064,-0.30100515463549876,-0.43901059065921444,-0.5714156434157627
-10.050833639636014,-0.023152271490526816,0.026785052861488468,0.08052183402538082,0.1316273271499758,0.173387077597911,0.19940228429483453,0.20418354045084824,0.18369205749105094,0.13578451031649047,0.06052391597261006,-0.039671928658488204,-0.16006157507234023,-0.29379492286948455,-0.4323029853721205,-0.5658402438184085
-10.038262240461984,-0.024767534675604663,0.025208544075989422,0.07920762216201109,0.13082928949979084,0.17336495661962092,0.20039380347726543,0.20637537530851263,0.18719219779895924,0.14059862137337137,0.06653816726175864,-0.03269945011612639,-0.15249929614940133,-0.2861252005292791,-0.42509847561140884,-0.55973007917175
